English,Indonesian
the,itu
and,Dan
to,ke
of,dari
a,A
in,di dalam
is,adalah
that,itu
for,untuk
If,Jika
you,Anda
it,dia
with,dengan
on,pada
as,sebagai
are,adalah
be,menjadi
this,ini
was,dulu
have,memiliki
or,atau
at,pada
not,bukan
your,milikmu
from,dari
we,Kami
by,oleh
will,akan
can,Bisa
but,Tetapi
they,mereka
an,sebuah
he,Dia
all,semua
has,memiliki
if,jika
their,milik mereka
one,satu
do,Mengerjakan
more,lagi
exist,ada
my,-ku
his,miliknya
so,Jadi
there,di sana
about,tentang
which,yang
when,Kapan
what,Apa
out,keluar
up,ke atas
our,kita
does,melakukan
also,Juga
had,telah
time,waktu
some,beberapa
would,akan
were,adalah
like,menyukai
been,pernah
just,hanya
her,dia
new,baru
other,lainnya
them,mereka
she,dia
people,rakyat
these,ini
no,TIDAK
get,mendapatkan
how,Bagaimana
me,Saya
into,ke dalam
than,dibandingkan
only,hanya
its,-nya
most,paling
may,mungkin
any,setiap
many,banyak
make,membuat
then,Kemudian
well,Sehat
first,Pertama
very,sangat
over,lebih
now,Sekarang
could,bisa
after,setelah
even,bahkan
because,Karena
us,kita
said,dikatakan
good,Bagus
way,jalan
two,dua